WI0059048,110031276241,CALAMITY KNOLL FARM,9819 S GUSTAFSON RD,TURTLE TN,WI,NON-POTW,Significant Violation,Effective,Yes,10,194,42.535565,-88.914134,
WI0003565,110000594198,ERCO WORLDWIDE USA INC PT EDW,101 HWY 73 SOUTH,NEKOOSA,WI,NON-POTW,Noncompliance,Effective,Yes,8,549,44.3381,-89.8871,pH
WI0037991,110000544233,NEWPAGE CORP WATER QUAL CTR,2811 FIFTH AVE NORTH,WISCONSIN RAPIDS,WI,NON-POTW,Noncompliance,Admin Continued,Yes,7,187,44.42328,-89.831663,Chlorine|Copper
WI0000531,110000421151,ST PAPER LLC,106 E CENTRAL AVE,OCONTO,WI,NON-POTW,Noncompliance,Admin Continued,Yes,5,17,44.873593,-88.14389,"5-day BOD| 20 deg. C|TSS"
WI0000931,110000419299,WI ELECTRIC POWER CO VALLEY PO,1035 W CANAL ST,MILWAUKEE,WI,NON-POTW,Significant Violation,Effective,Yes,5,492,43.030366,-87.919805,Chlorine|Phosphorus|pH
WI0000957,110002433304,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR RD,TWO RIVERS,WI,NON-POTW,Noncompliance,Effective,Yes,4,850,44.26942,-87.54045,"5-day BOD| 20 deg. C|TSS"
WI0001040,110056962032,TYCO SAFETY PRODUCTS - ANSUL,ONE STANTON ST,MARINETTE,WI,NON-POTW,Noncompliance,Admin Continued,Yes,4,814,45.09713,-87.61406,"Arsenic|TSS"
WI0003026,110000422383,"EXPERA SPECIALTY SOLUTIONS LLC, RHINELANDER",515 W DAVENPORT ST,RHINELANDER,WI,NON-POTW,Noncompliance,Admin Continued,Yes,4,149,45.6391,-89.421,"pH>60"
WI0042765,110064649153,WI PUBLIC SERV CORP WESTON 3,2501 MORRISON AVE,ROTHSCHILD,WI,NON-POTW,Noncompliance,Admin Continued,Yes,4,554,44.861639,-89.655139,"Chlorine|TSS"
WI0003212,110000422392,FLAMBEAU RIVER PAPERS LLC,200 NORTH FIRST AVE,PARK FALLS,WI,NON-POTW,Noncompliance,Effective,Yes,3,571,45.93638,-90.44677,"TSS"
WI0063576,110041254638,PRIDE VIEW DAIRY LLC,W2470 CTY RD AW,RANDOLPH,WI,NON-POTW,Noncompliance,Effective,Yes,2,1776,43.662991,-89.837398,
WI0000817,110009518085,LAKESIDE FOODS INC BELGIUM PLA,705 MAIN STREET,BELGIUM,WI,NON-POTW,Noncompliance,Effective,Yes,1,1437,43.49951,-87.853252,
WI0026620,110002034012,DEAN FOODS VEG CO - CAMBRIA,801 W COMMERCE STREET,414 435 5301,WI,NON-POTW,Noncompliance,Effective,Yes,1,1494,43.54144,-89.1195,
WI0058386,110031276134,THOMPSONS GOLD DUST DAIRY,SEC 9 T22N R20E,ROCKLAND TN,WI,NON-POTW,Noncompliance,Effective,Yes,1,324,44.387723,-88.090236,
WI0059072,110031276269,WILD ROSE DAIRY LLC,E11310 BUCKEYE RIDGE RD,WEBSTER TN,WI,NON-POTW,Noncompliance,Admin Continued,Yes,1,599,43.61383,-90.67095,
WI0059536,110040441643,KINNARD FARMS INC,E2675 COUNTY HWY S,CASCO,WI,NON-POTW,Noncompliance,Effective,Yes,1,760,44.61803,-87.63716,
WI0059544,110040441652,MATSCHE FARM INC,N9035 RIVER RD,BIRNAMWOOD,WI,NON-POTW,Noncompliance,Admin Continued,Yes,1,529,44.91944,-89.08519,
WI0061760,110040439237,DOUBLE S DAIRY,N3447 MARSHVIEW RD,MARKESAN,WI,NON-POTW,Noncompliance,Effective,Yes,1,1984,43.66244,-88.86558,
WI0062693,110041249707,SHILOH DAIRY LLC,N8681 BASTIAN RD,BRILLION,WI,NON-POTW,Noncompliance,Effective,Yes,1,494,44.20369,-88.10435,
WI0062758,110041245211,THISTLE DAIRY LLC,3006 LONE ELM RD,VAN DYNE,WI,NON-POTW,Noncompliance,Admin Continued,Yes,1,1545,43.893771,-88.548291,
WI0062987,110041249832,SECOND LOOK HOLSTEINS LLC,N3832 HWY W,EDEN,WI,NON-POTW,Noncompliance,Expired,Yes,1,,43.67478,-88.27341,
WI0063410,110041245881,SKYLINE BLUE ACRES,E612 CTY RD BB,DENMARK,WI,NON-POTW,Noncompliance,Effective,Yes,1,1852,44.37071,-87.74545,
WI0064874,110044903833,MAJESTIC MEADOWS DAIRY LLC,N5853 MEADOWLARK RD,SHEBOYGAN FALLS,WI,NON-POTW,Noncompliance,Effective,Yes,1,24,43.75275,-87.84003,
WI0065226,WI0065226,FITZ PINE DAIRY FARM INC,11405 COUNTY ROAD F,"NEWTON, TOWN OF",WI,NON-POTW,Noncompliance,Effective,Yes,1,,43.957525,-87.8141,
WI0020109,110039975658,RICHLAND CENTER CITY WWTF,WEST SOUTH ST,RICHLAND CENTER,WI,POTW,Noncompliance,Effective,Yes,12,1248,43.331083,-90.390278,"Ammonia|5-day BOD| 20 deg. C|Phosphorus"
WI0025763,110002049211,WEST BEND CITY WWTF,512 MUNICIPAL DR,WEST BEND,WI,POTW,Noncompliance,Admin Continued,Yes,12,94,43.41993,-88.1482,Chloride
WI0036188,110010885970,STOCKBRIDGE-MUNSEE INDIAN TR,W13817 COUNTY HWY A,BOWLER,WI,POTW,Noncompliance,Effective,Yes,12,7141,44.861606,-88.984425,Ammonia|Oxygen
WI0036587,110010886050,BAD RIVER BAND,P.O. BOX 39,ODANAH,WI,POTW,Noncompliance,Effective,Yes,12,137,46.592276,-90.649022,"5-day BOD 20 deg. C|5-day BOD| percent removal|E. coli|Oxygen|Phosphorus|percent solid removal|TSS|pH"
