WI0059048,110031276241,CALAMITY KNOLL FARM,9819 S GUSTAFSON RD,TURTLE TN,WI,NON-POTW,Significant Violation,Effective,Yes,9,159,42.5356,-88.9141,N/A
WI0003239,110000422597,DAIRYLAND POWER CO-OP GENOA,S4651 STATE ROAD 35,GENOA,WI,NON-POTW,Significant Violation,Effective,Yes,4,467,43.5591,-91.2317,TSS
WI0037389,110005425682,SCA TISSUE NORTH AMERICA LLC,TAYCO AND 3RD,MENASHA,WI,NON-POTW,Significant Violation,Effective,Yes,1,480,44.2050,-88.4547,N/A
WI0000825,110064619756,EXPERA SPECIALTY SOLUTIONS LLC KAUKAUNA,600 THILMANY ROAD,KAUKAUNA,WI,NON-POTW,Significant Violation,Admin Continued,Yes,2,270,44.2813,-88.2627,TSS
WI0040223,110000422560,DAIRYLAND POWER COOP ALMA 6,JP MADGETT GENERATING STATION,ALMA,WI,NON-POTW,Significant Violation,Admin Continued,Yes,3,464,44.3080,-91.9110,TSS
WI0001031,110043810043,PROCTER AND GAMBLE PAPER PRODU,501 EASTMAN AVE,GREEN BAY,WI,NON-POTW,Significant Violation,Effective,Yes,2,1535,44.5241,-88.0031,Chlorine
WI0000965,110000421534,WI PUBLIC SERVICE CORP PULLIAM,BYLSBY AVE,GREEN BAY,WI,NON-POTW,Significant Violation,Effective,Yes,4,549,44.5408,-88.0117,pH
WI0071307,110027989595,WOLF RIVER RANCH WWTF,MENOMINEE INDIAN RESERVATION,SHAWANO COUNTY,WI,POTW,Significant Violation,Effective,Yes,9,283,0.0000,0.0000,Ammonia|5-day BOD|Oxygen|Phosphorus|TSS
WI0071315,110027989602,KESHENA WWTF,MENONMINEE INDIAN RESERVATION,KESHENA,WI,POTW,Significant Violation,Effective,Yes,9,283,0.0000,0.0000,Ammonia|Oxygen|Phosphorus|TSS
WI0022772,110002050306,WAUPUN CITY WWTF,501 N FOND DU LAC ST,WAUPUN,WI,POTW,Significant Violation,Admin Continued,Yes,2,516,43.6417,-88.7193,N/A
WI0046957,110002433215,PGP INTERNATIONAL INC,N2689 COUNTY HWY S,JUDA,WI,NON-POTW,Noncompliance,Effective,Yes,1,814,42.6022,-89.5068,N/A
WI0054411,110016875201,MONTCHEVRE BETIN INC,330 PENN ST,BELMONT,WI,NON-POTW,Noncompliance,Admin Continued,Yes,1,1919,42.7343,-90.3298,N/A
WI0054470,110002121230,LACTALIS USA,218 PARK STREET,BELMONT,WI,NON-POTW,Noncompliance,Effective,Yes,2,,42.7358,-90.3271,N/A
WI0038938,110032664070,PLYMOUTH TUBE CO EAST TROY & TRENT PLANTS,2056 YOUNG ST,EAST TROY,WI,NON-POTW,Noncompliance,Terminated,Yes,2,1536,42.7867,-88.3921,N/A
WI0000931,110000419299,WI ELECTRIC POWER CO VALLEY PO,1035 W CANAL ST,MILWAUKEE,WI,NON-POTW,Noncompliance,Effective,Yes,7,457,43.0304,-87.9198,Chlorine|Mercury|Phosphorus|pH
WI0000922,110043810276,WI ELECTRIC POWER CO PORT WASH,146 S WISCONSIN ST,PORT WASHINGTON,WI,NON-POTW,Noncompliance,Effective,Yes,2,701,43.3845,-87.8697,pH
WI0026620,110002034012,DEAN FOODS VEG CO - CAMBRIA,801 W COMMERCE STREET,414 435 5301,WI,NON-POTW,Noncompliance,Effective,Yes,1,1459,43.5414,-89.1195,N/A
