WI0000931,110000419299,WI ELECTRIC POWER CO VALLEY PO,1035 W CANAL ST,MILWAUKEE,WI,Noncompliance,,7,5,43.030366,-87.919805,Chlorine|Mercury|Phosphorus|pH
WI0000957,110002433304,NEXTERA ENERGY POINT BEACH LLC,6610 NUCLEAR RD,TWO RIVERS,WI,Noncompliance,,3,1,44.26942,-87.54045,"BOD, 5-day, 20 deg. C|Solids, total suspended"
WI0001848,110013863275,GEORGIA PACIFIC CONSUMER PROD,1919 S BROADWAY,GREEN BAY,WI,Noncompliance,,3,2,44.4925,-88.0323,Copper
WI0003085,110000422962,CALUMET SUPERIOR LLC,2407 STINSON AVE,SUPERIOR,WI,Noncompliance,,6,1,46.6915,-92.072,"Oil and grease|Solids, total suspended|pH range excursions, > 60 minutes"
WI0003239,110000422597,DAIRYLAND POWER CO-OP GENOA,S4651 STATE ROAD 35,GENOA,WI,Noncompliance,,3,1,43.559135,-91.231677,"Solids, total suspended"
WI0003565,110000594198,ERCO WORLDWIDE USA INC PT EDW,101 HWY 73 SOUTH,NEKOOSA,WI,Noncompliance,,7,2,44.3381,-89.8871,pH
WI0003620,110064253196,DOMTAR,HWY 73 W,PORT EDWARDS,WI,Noncompliance,,5,2,44.336639,-89.856167,"BOD, 5-day, 20 deg. C|Temperature, water deg. fahrenheit|pH"
WI0003671,110000422043,WAUSAU PAPER SPECIALTY PRODUCT,HIGHWAY 153 EAST,MOSINEE,WI,Noncompliance,,3,4,44.791101,-89.700253,"BOD, 5-day, 20 deg. C|Solids, total suspended|pH range excursions, > 60 minutes|pH range excursions, monthly total accum"
WI0020109,110039975658,RICHLAND CENTER CITY WWTF,WEST SOUTH ST,RICHLAND CENTER,WI,Significant Violation,E(EffViol),12,2,43.331083,-90.390278,"Ammonia|BOD, 5-day, 20 deg. C|Phosphorus"
WI0020478,110002321167,SUN PRAIRIE CITY WWTF,3040 BAILEY RD,SUN PRAIRIE,WI,Noncompliance,,2,4,43.15548,-89.24043,"Ammonia|BOD, 5-day, 20 deg. C"
WI0020559,110002321176,SUSSEX VILLAGE WWTF,N59 W23551 CLOVER DR,SUSSEX,WI,Noncompliance,,10,2,43.12525,-88.217333,Chloride
