1,WI0003085,110000422962,CALUMET SUPERIOR LLC,2407 STINSON AVENUE,SUPERIOR,WI,NON-POTW,M,5,Yes,46.691500,-92.072000,4,0,1607,"Mercury|Oil and grease|Solids, total suspended"
2,WI0059048,110031276241,CALAMITY KNOLL FARM,9819 S GUSTAFSON RD,CLINTON,WI,NON-POTW,N,3,Yes,42.534880,-88.914140,0,1,433,Not Available
3,WI0037842,110007333242,NEENAH PAPER INC NEENAH MILL,135 N COMMERCIAL ST,NEENAH,WI,NON-POTW,M,3,Yes,44.188073,-88.460072,3,0,430,Copper
4,WI0003204,110000422908,"CELLU TISSUE - CITY FOREST, LLC DBA CLEARWATER PAPER","1215 EAST WORDEN AVENUE, LADYSMITH, WISCONSIN",LADYSMITH,WI,NON-POTW,M,2,Yes,45.463430,-91.088770,0,0,307,Not Available
5,WI0059366,110040433411,ARCAND POULTRY FARM INC,"809  5TH AVENUE, CLEAR LAKE, WISCONSIN","BLACK BROOK, TOWN OF",WI,NON-POTW,N,1,Yes,45.216570,-92.326670,0,0,705,Not Available
6,WI0063754,110041254745,ARCTIC VIEW FARMS,"N17388 CTY ROAD T, GALESVILLE, WI 54630","GALE, TOWN OF",WI,NON-POTW,N,1,Yes,44.105388,-91.340399,0,0,1896,Not Available
7,WI0063657,110041254665,BLAKEN FARMS LLC,W13887 CTY RD D,"MELROSE, TOWN OF",WI,NON-POTW,N,1,Yes,44.175240,-91.024240,0,0,2225,Not Available
8,WI0026514,110000418968,BRIGGS STRATTON CORP WAUWATOSA,3300 N 124TH ST,WAUWATOSA,WI,NON-POTW,N,1,Yes,43.079210,-88.066420,0,0,465,Not Available
9,WI0064416,110041919555,DEANS EGGS NATURE LINK FARMS LLC,N5485 HARVEY ROAD,JEFFERSON,WI,NON-POTW,N,1,Yes,43.043550,-88.876630,0,0,0,Not Available
10,WI0065226,110069591560,FITZ PINE DAIRY FARM INC,"11405 COUNTY ROAD F, NEWTON, WI 53063","NEWTON, TOWN OF",WI,NON-POTW,N,1,Yes,43.949697,-87.821679,0,0,0,Not Available
11,WI0064751,110046339306,LUCKWALDT AGRICULTURE INC,2606 COUNTY HIGHWAY D,"BALDWIN, TOWN OF",WI,NON-POTW,N,1,Yes,45.003412,-92.276796,0,0,1657,Not Available
12,WI0030481,110010848725,"MHC RAINBOW LAKE, LLC","19990 128TH ST., BRISTOL, WI",BRISTOL,WI,NON-POTW,N,1,Yes,42.495540,-88.048562,0,0,656,Not Available
13,WI0062944,110041249814,MLSNA EAST TOWN DAIRY LLC,9785 OGDER AVE,"JEFFERSON, TOWN OF",WI,NON-POTW,N,1,Yes,43.737860,-90.793970,0,0,2210,Not Available
14,WI0065234,110064581509,NORTH SIDE GENETICS LLC,3679 WOOD ROAD,"FENNIMORE, TOWN OF",WI,NON-POTW,N,1,Yes,43.006537,-90.602757,0,0,423,Not Available
15,WI0064432,110043480943,PFAFF PRAIRIE FARMS,"N1497 STATE ROAD 108 MELROSE, WI 54642","MELROSE, TOWN OF",WI,NON-POTW,N,1,Yes,44.121426,-91.032601,0,0,688,Not Available
16,WI0064718,110070010951,RICHLAND CENTER RENEWABLE ENERGY,"CTH ""RC"" AND BOHMANN DRIVE",RICHLAND,WI,NON-POTW,N,1,Yes,44.533932,-88.094504,0,0,199,Not Available
17,WI0065820,110041254736,STEVEN BRAND,W5895 HWY 63,ELLSWORTH,WI,NON-POTW,N,1,Yes,44.734100,-92.467700,0,0,0,Not Available
18,WI0062651,110041249690,VIR CLAR FARMS LLC,N5119 COUNTY RD K,"EMPIRE, TOWN OF",WI,NON-POTW,N,1,Yes,43.726634,-88.401821,0,0,734,Not Available
19,WI0042218,110001926596,WISCONSIN THERMOSET MOLDING INC,900 E VIENNA AVE,MILWAUKEE,WI,NON-POTW,N,1,Yes,43.085800,-87.898900,0,0,159,Not Available
20,WI0061506,110040441705,ZAHNS FARMS LLC,"6661 MUELLER HILL RD, GILLETT, WI 54124","GILLETT, TOWN OF",WI,NON-POTW,N,1,Yes,44.917537,-88.347461,0,0,1689,Not Available
21,WI0058424,110010884221,FOREST COUNTY POTAWATOMI COMM.,P.O. BOX 340,CRANDON,WI,POTW,N,12,Yes,45.555833,-88.922823,10,0,943,"BOD, carb-5 day, 20 deg C, percent removal|BOD, carbonaceous [5 day, 20 C]|Solids, suspended percent removal|pH"
22,WI0058432,110010884221,FOREST COUNTY POTAWATOMI COMM.,P.O. BOX 340,CRANDON,WI,POTW,N,12,Yes,45.555833,-88.922823,3,0,943,E. coli|pH
23,WI0036188,110010885970,STOCKBRIDGE-MUNSEE INDIAN TR,W13817 COUNTY HWY A,BOWLER,WI,POTW,N,12,Yes,44.861606,-88.984425,3,0,7380,Ammonia|Oxygen
